aapl	320193
msft	789019
amzn	1018724
goog	1652044
tcehy	1293451
tsla	1318605
brk-a	1067983
tsm	1046179
baba	1577552
v	1403161
nvda	1045810
jpm	19617
jnj	200406
spy	884394
lvmuy	824046
wmt	104169
unh	731766
ma	1141391
pypl	1633917
bac	70858
hd	354950
pg	80424
dis	1744489
asml	937966
adbe	796343
cmcsa	1166691
xom	34088
nke	320187
idcby	1445468
tm	1094517
nflx	1065280
vz	732712
ko	21344
orcl	1341439
crm	1108524
intc	50863
lly	59478
csco	858877
pfe	78003
abt	1800
cihky	1495688
t	732717
nvs	1114448
pep	77476
abbv	1551152
vwdry	1330306
tmo	97745
cvx	93410
orcl	1341439
dhr	313616
mrk	310158
cichy	1445474
nvo	353278
avgo	1730168
acn	1467373
shop	1594805
ups	1090727
tmus	1283699
bhp	811809
wfc	72971
txn	97476
cost	909832
mcd	63908
mdt	1613103
ms	895421
sap	1000184
acgby	1501437
qcom	804328
rds-a	1306965
azn	901832
ul	217410
rtntf	887028
pm	1413329
hon	773840
hesay	1436949
bmy	14272
lin	1707925
unp	100885
ptr	1108329
bbl	1171264
nee	753308
chdry	1450488
se	1703399
ry	1000275
pdd	1737806
qqq	1067839
c	831001
amgn	318154
bud	1668717
ba	12927
low	60667
chtr	1091667
hdb	1144967
intu	896878
sbux	829224
axp	4962
blk	1364742
schw	316709
rio	863064
rtx	101829
sny	1121404
bachy	1378999
sony	313838
td	947263
gs	886982
amt	1053507
amat	6951
ibm	51143
tgt	27419
tte	879764
sftby	1065521
zm	1585521
hsbc	1089113
cat	18230
lfc	1268896
el	1001250
amd	2488
mmm	66740
ge	40545
jd	1549802
vale	917851
sq	1512673
isrg	1035267
deo	835403
idexy	1438656
now	1373715
ppruy	1445465
de	315189
cvs	64803
lmt	936468
snap	1564408
eadsy	1378580
gsk	1131399
spgi	64040
syk	310764
byddy	1445162
dmlry	1067318
uber	1543151
antm	1156039
mrna	1682852
zts	1555280
abnb	1559720
bkng	1075531
mu	723125
pld	1045609
fis	1136893
infy	1067491
swgay	1438845
bti	1303523
lrcx	707549
sbgsy	923734
bp	313807
mdlz	1103982
mo	764180
cci	1051470
gild	882095
adp	8670
usb	36104
gm	1467858
cta-pa	30554
aiquy	1161167
nio	1736541
tjx	109198
enb	895728
ci	1739940
esloy	1085922
pnc	713676
cop	1163165
bam	1001085
fdx	1048911
meli	1099590
bns	9631
frcoy	1446595
duk	1326160
dell	1571996
hkxcy	1445476
cme	1156375
ntes	1110646
snp	1123658
cni	16868
eqix	1101239
atvi	718877
tfc	92230
shw	89800
bdx	10795
mmc	62709
fisv	798354
cb	896159
pbr	1119639
hca	860730
shecy	1442651
atlcy	748954
snow	1640147
kddiy	1106215
itw	49826
cof	927628
pstvy	1689565
abb	1091587
wbk	719245
mufg	67088
bx	1393818
cl	21665
ilmn	1110803
mco	1059556
cpng	1834584
cfruy	948401
eqnr	1140625
njdcy	1158967
nsc	702165
team	1650372
twlo	1447669
ice	1571949
ew	1099800
bmo	927971
vmw	1124610
toely	1443276
chgcy	1453934
so	92122
adsk	769397
apd	2969
bidu	1329099
san	891478
rbgly	1420798
stla	1605484
adi	6281
regn	872589
bsx	885725
coin	1679788
vcisy	1065198
dnngy	1679771
d	715957
wm	823768
ibn	1103838
safry	1364012
ecl	31462
